class,total_files,sampled,usable_exterior,usable_pct,no_vehicle,vehicle_too_small,unreadable,projected_usable_in_class
byd_chazor,617,150,114,76.0,27,9,0,469
byd_song_plus_dm_i_champion,471,150,115,76.7,24,11,0,361
chery_arrizo_6_pro,475,150,117,78.0,25,8,0,370
chery_tiggo_7_pro,652,150,111,74.0,27,12,0,482
chevrolet_captiva,808,150,111,74.0,33,6,0,598
chevrolet_cobalt,2007,150,110,73.3,34,6,0,1472
chevrolet_damas,681,150,109,72.7,32,9,0,495
chevrolet_epica,816,150,105,70.0,32,13,0,571
chevrolet_equinox,803,150,120,80.0,21,9,0,642
chevrolet_gentra,2004,150,108,72.0,37,5,0,1443
chevrolet_labo,807,150,112,74.7,36,2,0,603
chevrolet_malibu,810,150,118,78.7,22,10,0,637
chevrolet_malibu2,806,150,110,73.3,31,9,0,591
chevrolet_matiz,807,150,116,77.3,33,1,0,624
chevrolet_monza,719,150,119,79.3,22,9,0,570
chevrolet_nexia2,809,150,113,75.3,35,2,0,609
chevrolet_onix,807,150,113,75.3,28,9,0,608
chevrolet_tracker,811,150,119,79.3,21,10,0,643
chevrolet_tracker_2,805,150,119,79.3,26,5,0,639
daewoo_nexia,806,150,115,76.7,33,2,0,618
daewoo_tico,806,150,109,72.7,37,4,0,586
kia_k_5,811,150,110,73.3,31,9,0,595
kia_sonet,691,150,110,73.3,35,5,0,507
kia_sorento,698,150,99,66.0,38,13,0,461
vaz_2106,812,150,121,80.7,25,4,0,655
vaz_2107,811,150,119,79.3,25,6,0,643
vaz_vesta,821,150,119,79.3,23,8,0,651
