class,listing_id,year,verdict,flag,images
chevrolet_tracker,5702501,,unknown (no longer listed),,1
chevrolet_tracker,6978393,,unknown (no longer listed),,1
chevrolet_tracker,7217319,2020,old-generation,,5
chevrolet_tracker,7288490,,unknown (no longer listed),,4
chevrolet_tracker,7336659,2023,new-generation,MISLABELLED,7
chevrolet_tracker,7340873,,unknown (no longer listed),,4
chevrolet_tracker,7353914,,unknown (no longer listed),,4
chevrolet_tracker,7354943,,unknown (no longer listed),,3
chevrolet_tracker,7387260,,unknown (no longer listed),,5
chevrolet_tracker,7387536,,unknown (no longer listed),,4
chevrolet_tracker,7387698,,unknown (no longer listed),,4
chevrolet_tracker,7387718,,unknown (no longer listed),,4
chevrolet_tracker,7391161,,unknown (no longer listed),,7
chevrolet_tracker,7391494,,unknown (no longer listed),,2
chevrolet_tracker,7391642,,unknown (no longer listed),,3
chevrolet_tracker,7391646,,unknown (no longer listed),,3
chevrolet_tracker,7399940,,unknown (no longer listed),,2
chevrolet_tracker,7400139,,unknown (no longer listed),,8
chevrolet_tracker,7400188,,unknown (no longer listed),,6
chevrolet_tracker,7400255,,unknown (no longer listed),,5
chevrolet_tracker,7401595,,unknown (no longer listed),,2
chevrolet_tracker,7401612,,unknown (no longer listed),,5
chevrolet_tracker,7401849,,unknown (no longer listed),,6
chevrolet_tracker,7402438,,unknown (no longer listed),,6
chevrolet_tracker,7403541,2024,new-generation,MISLABELLED,3
chevrolet_tracker,7403554,2024,new-generation,MISLABELLED,3
chevrolet_tracker,7404196,2020,old-generation,,4
chevrolet_tracker,7404198,2019,old-generation,,4
chevrolet_tracker,7405150,2024,new-generation,MISLABELLED,3
chevrolet_tracker,7407259,2025,new-generation,MISLABELLED,3
chevrolet_tracker,7407483,2019,old-generation,,2
chevrolet_tracker,7407742,2025,new-generation,MISLABELLED,9
chevrolet_tracker,7418148,,unknown (no longer listed),,6
chevrolet_tracker,7419593,2025,new-generation,MISLABELLED,5
chevrolet_tracker,7420033,2019,old-generation,,0
chevrolet_tracker,7420043,2019,old-generation,,5
chevrolet_tracker,7420053,2019,old-generation,,3
chevrolet_tracker,7420182,2021,ambiguous (transition year),,9
chevrolet_tracker,7420213,2023,new-generation,MISLABELLED,8
chevrolet_tracker,7420244,2023,new-generation,MISLABELLED,1
chevrolet_tracker,7421096,2019,old-generation,,5
chevrolet_tracker,7421442,2023,new-generation,MISLABELLED,1
chevrolet_tracker,7421603,2019,old-generation,,5
chevrolet_tracker,7421851,,unknown (no longer listed),,5
chevrolet_tracker,7423302,2023,new-generation,MISLABELLED,6
