class,listing_id,images,exterior_images,year_verdict,p_new,visual
chevrolet_tracker,5702501,1,1,unknown (no longer listed),0.998,new
chevrolet_tracker,6978393,1,1,unknown (no longer listed),0.866,new
chevrolet_tracker,7217319,5,4,old-generation,0.006,old
chevrolet_tracker,7288490,4,4,unknown (no longer listed),0.987,new
chevrolet_tracker,7336659,7,6,new-generation,0.948,new
chevrolet_tracker,7340873,4,2,unknown (no longer listed),0.003,old
chevrolet_tracker,7353914,4,2,unknown (no longer listed),0.0,old
chevrolet_tracker,7354943,3,3,unknown (no longer listed),0.022,old
chevrolet_tracker,7387260,5,5,unknown (no longer listed),0.012,old
chevrolet_tracker,7387536,4,4,unknown (no longer listed),0.878,new
chevrolet_tracker,7387698,4,2,unknown (no longer listed),0.034,old
chevrolet_tracker,7387718,4,2,unknown (no longer listed),0.001,old
chevrolet_tracker,7391161,7,7,unknown (no longer listed),0.88,new
chevrolet_tracker,7391494,2,2,unknown (no longer listed),0.687,new
chevrolet_tracker,7391642,3,1,unknown (no longer listed),0.997,new
chevrolet_tracker,7391646,3,3,unknown (no longer listed),0.914,new
chevrolet_tracker,7399940,2,2,unknown (no longer listed),0.0,old
chevrolet_tracker,7400139,8,7,unknown (no longer listed),0.712,new
chevrolet_tracker,7400188,6,6,unknown (no longer listed),0.054,old
chevrolet_tracker,7400255,5,4,unknown (no longer listed),0.821,new
chevrolet_tracker,7401595,2,2,unknown (no longer listed),0.964,new
chevrolet_tracker,7401612,5,5,unknown (no longer listed),0.86,new
chevrolet_tracker,7401849,6,3,unknown (no longer listed),0.782,new
chevrolet_tracker,7402438,6,6,unknown (no longer listed),0.911,new
chevrolet_tracker,7403541,3,3,new-generation,0.998,new
chevrolet_tracker,7403554,3,3,new-generation,0.995,new
chevrolet_tracker,7404196,4,3,old-generation,0.267,old
chevrolet_tracker,7404198,4,4,old-generation,0.004,old
chevrolet_tracker,7405150,3,3,new-generation,0.962,new
chevrolet_tracker,7407259,3,1,new-generation,0.987,new
chevrolet_tracker,7407483,2,2,old-generation,0.014,old
chevrolet_tracker,7407742,9,8,new-generation,0.983,new
chevrolet_tracker,7418148,6,5,unknown (no longer listed),0.093,old
chevrolet_tracker,7419593,5,5,new-generation,0.981,new
chevrolet_tracker,7420043,5,4,old-generation,0.015,old
chevrolet_tracker,7420053,3,2,old-generation,0.003,old
chevrolet_tracker,7420182,9,5,ambiguous (transition year),0.985,new
chevrolet_tracker,7420213,8,7,new-generation,0.837,new
chevrolet_tracker,7420244,1,1,new-generation,0.992,new
chevrolet_tracker,7421096,5,5,old-generation,0.024,old
chevrolet_tracker,7421442,1,1,new-generation,0.995,new
chevrolet_tracker,7421603,5,4,old-generation,0.006,old
chevrolet_tracker,7421851,5,4,unknown (no longer listed),0.973,new
chevrolet_tracker,7423302,6,5,new-generation,0.907,new
chevrolet_tracker,7423679,5,4,new-generation,0.932,new
chevrolet_tracker,7432027,5,5,unknown (no longer listed),0.22,old
chevrolet_tracker,7432898,1,1,unknown (no longer listed),0.005,old
chevrolet_tracker,7434187,2,2,unknown (no longer listed),0.982,new
chevrolet_tracker,7434199,6,5,unknown (no longer listed),0.967,new
chevrolet_tracker,7435247,9,8,unknown (no longer listed),0.975,new
chevrolet_tracker,7435667,3,3,ambiguous (transition year),0.579,uncertain
chevrolet_tracker,7435773,3,1,old-generation,0.035,old
chevrolet_tracker,7435864,4,2,new-generation,0.767,new
chevrolet_tracker,7436169,5,4,new-generation,0.986,new
chevrolet_tracker,7436173,4,3,new-generation,0.783,new
chevrolet_tracker,7436400,2,2,old-generation,0.015,old
chevrolet_tracker,7436792,5,5,old-generation,0.008,old
chevrolet_tracker,7436830,5,4,old-generation,0.067,old
chevrolet_tracker,7436869,3,3,old-generation,0.019,old
chevrolet_tracker,7437678,8,6,old-generation,0.026,old
chevrolet_tracker,7447515,4,4,unknown (no longer listed),0.787,new
chevrolet_tracker,7448010,4,4,unknown (no longer listed),0.902,new
chevrolet_tracker,7448035,4,4,unknown (no longer listed),0.965,new
chevrolet_tracker,7448050,4,2,unknown (no longer listed),0.751,new
chevrolet_tracker,7448122,6,6,unknown (no longer listed),0.978,new
