listing_id,from_class,to_class,images,reason
5702501,chevrolet_tracker,chevrolet_tracker_2,1,visual vote p_new=0.998 on 1 exterior shots; year unknown (no longer listed)
6978393,chevrolet_tracker,chevrolet_tracker_2,1,visual vote p_new=0.866 on 1 exterior shots; year unknown (no longer listed)
7288490,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.987 on 4 exterior shots; year unknown (no longer listed)
7336659,chevrolet_tracker,chevrolet_tracker_2,7,listing year new-generation (site card) = newer generation; visual vote new
7387536,chevrolet_tracker,chevrolet_tracker_2,4,visual vote p_new=0.878 on 4 exterior shots; year unknown (no longer listed)
7391161,chevrolet_tracker,chevrolet_tracker_2,7,visual vote p_new=0.88 on 7 exterior shots; year unknown (no longer listed)
7391494,chevrolet_tracker,chevrolet_tracker_2,2,visual vote p_new=0.687 on 2 exterior shots; year unknown (no longer listed)
7391642,chevrolet_tracker,chevrolet_tracker_2,3,visual vote p_new=0.997 on 1 exterior shots; year unknown (no longer listed)
7391646,chevrolet_tracker,chevrolet_tracker_2,3,visual vote p_new=0.914 on 3 exterior shots; year unknown (no longer listed)
7400139,chevrolet_tracker,chevrolet_tracker_2,8,visual vote p_new=0.712 on 7 exterior shots; year unknown (no longer listed)
7400255,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.821 on 4 exterior shots; year unknown (no longer listed)
7401595,chevrolet_tracker,chevrolet_tracker_2,2,visual vote p_new=0.964 on 2 exterior shots; year unknown (no longer listed)
7401612,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.86 on 5 exterior shots; year unknown (no longer listed)
7401849,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.782 on 3 exterior shots; year unknown (no longer listed)
7402438,chevrolet_tracker,chevrolet_tracker_2,6,visual vote p_new=0.911 on 6 exterior shots; year unknown (no longer listed)
7403541,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7403554,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7405150,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7407259,chevrolet_tracker,chevrolet_tracker_2,3,listing year new-generation (site card) = newer generation; visual vote new
7407742,chevrolet_tracker,chevrolet_tracker_2,9,listing year new-generation (site card) = newer generation; visual vote new
7419593,chevrolet_tracker,chevrolet_tracker_2,5,listing year new-generation (site card) = newer generation; visual vote new
7420182,chevrolet_tracker,chevrolet_tracker_2,9,visual vote p_new=0.985 on 5 exterior shots; year ambiguous (transition year)
7420213,chevrolet_tracker,chevrolet_tracker_2,8,listing year new-generation (site card) = newer generation; visual vote new
7420244,chevrolet_tracker,chevrolet_tracker_2,1,listing year new-generation (site card) = newer generation; visual vote new
7421442,chevrolet_tracker,chevrolet_tracker_2,1,listing year new-generation (site card) = newer generation; visual vote new
7421851,chevrolet_tracker,chevrolet_tracker_2,5,visual vote p_new=0.973 on 4 exterior shots; year unknown (no longer listed)
7423302,chevrolet_tracker,chevrolet_tracker_2,6,listing year new-generation (site card) = newer generation; visual vote new
7423679,chevrolet_tracker,chevrolet_tracker_2,5,listing year new-generation (site card) = newer generation; visual vote new
